Data Set,Tokenization method,Dropout Rate,Normalization Method,MSE,CD,MCC,CCC
data_clean_kop.csv,Dictionary,0.1,none,0.030979033559560776,0.9815194606781006,0.0,-6.269553209925505e-10
data_clean_kop.csv,Dictionary,0.1,MinMax Scaling,0.00038123418926261365,0.9744948744773865,0.9087474346160889,0.9858014583587646
data_clean_kop.csv,Dictionary,0.1,Robust Scaling,0.036092471331357956,0.9784690737724304,0.919263482093811,0.9883041381835938
data_clean_kop.csv,Dictionary,0.1,Interquartile Range,0.013674327172338963,0.9758671522140503,0.9292911291122437,0.9876121282577515
data_clean_kop.csv,Dictionary,0.1,Winsorization,0.024691617116332054,0.9819693565368652,0.0,-3.901582529275416e-11
data_clean_kop.csv,Dictionary,0.2,none,0.0318007729947567,0.9810292720794678,0.0,-2.005574734065263e-10
data_clean_kop.csv,Dictionary,0.2,MinMax Scaling,0.0005770529387518764,0.9684068560600281,0.8853442668914795,0.9844821691513062
data_clean_kop.csv,Dictionary,0.2,Robust Scaling,0.03084084391593933,0.9816019535064697,0.9269336462020874,0.9903215169906616
data_clean_kop.csv,Dictionary,0.2,Interquartile Range,0.015112027525901794,0.9739464521408081,0.9074854850769043,0.9861210584640503
data_clean_kop.csv,Dictionary,0.2,Winsorization,0.027409324422478676,0.9799848198890686,0.0,-1.2536138793706186e-10
data_clean_kop.csv,Dictionary,0.3,none,0.03355002775788307,0.979985773563385,0.0,-9.304567533119368e-11
data_clean_kop.csv,Dictionary,0.3,MinMax Scaling,0.0006991887930780649,0.9532232284545898,0.8814883232116699,0.9729992151260376
data_clean_kop.csv,Dictionary,0.3,Robust Scaling,0.051818154752254486,0.9690879583358765,0.9149782061576843,0.9831947088241577
data_clean_kop.csv,Dictionary,0.3,Interquartile Range,0.012401188723742962,0.9783677458763123,0.9070801734924316,0.9882929921150208
data_clean_kop.csv,Dictionary,0.3,Winsorization,0.03066929802298546,0.9776042699813843,0.0,4.2514702869311805e-10
data_clean_kop.csv,TfidfVectorizer,0.1,none,1.677608609199524,-0.0007762908935546875,0.0,-9.68364487717848e-16
data_clean_kop.csv,TfidfVectorizer,0.1,MinMax Scaling,0.014996842481195927,-0.0033112764358520508,0.0,0.0
data_clean_kop.csv,TfidfVectorizer,0.1,Robust Scaling,1.6763215065002441,-7.510185241699219e-06,0.0,0.0
data_clean_kop.csv,TfidfVectorizer,0.1,Interquartile Range,0.5800539255142212,-2.777576446533203e-05,0.0,-3.995757197339245e-11
data_clean_kop.csv,TfidfVectorizer,0.1,Winsorization,1.3700361251831055,-0.0004451274871826172,0.0,0.0
data_clean_kop.csv,TfidfVectorizer,0.2,none,1.6777423620224,-0.0008561611175537109,0.0,1.418632591159894e-15
data_clean_kop.csv,TfidfVectorizer,0.2,MinMax Scaling,0.01494772918522358,-2.5510787963867188e-05,0.0,2.610403448954912e-08
data_clean_kop.csv,TfidfVectorizer,0.2,Robust Scaling,1.6795488595962524,-0.0019327402114868164,0.0,-2.393341635986701e-10
data_clean_kop.csv,TfidfVectorizer,0.2,Interquartile Range,0.5800679922103882,-5.2094459533691406e-05,0.0,4.357211099750638e-18
data_clean_kop.csv,TfidfVectorizer,0.2,Winsorization,1.3695333003997803,-7.796287536621094e-05,0.0,3.7527334153936707e-16
data_clean_kop.csv,TfidfVectorizer,0.3,none,1.6777106523513794,-0.0008372068405151367,0.0,0.0
data_clean_kop.csv,TfidfVectorizer,0.3,MinMax Scaling,0.015007376670837402,-0.0040160417556762695,0.0,-1.1282095258025038e-08
data_clean_kop.csv,TfidfVectorizer,0.3,Robust Scaling,1.67631995677948,-6.556510925292969e-06,0.0,5.082864129590803e-10
